Id_Volta,Id_Piloto,Ano_jogo,Temporada,Prova1,Prova2,Prova3,Prova4,Prova5,Prova6,Prova7,Prova8,Prova9,Prova10,Prova11,Prova12,Prova13,Prova14,Prova15,Prova16,Prova17,Prova18,Prova19,Prova20,Prova21,Prova23,Prova24,Prova25,Prova22,Tipo_Carreira
23,,2019,10,63,63,64,65,63,63,63,63,52,52,56,59,63,60,63,63,47,63,63,63,46,,,,,"Piloto"
24,,2020,1,74,75,71,72,71,75,72,73,74,72,73,71,73,74,72,72,88,74,73,75,72,,,,72,"Piloto"
25,,2020,2,72,71,74,71,74,72,72,84,91,71,91,71,74,72,91,91,71,91,73,71,84,,,,82,"Piloto"
26,,2020,3,94,83,91,79,75,75,91,83,91,75,72,76,82,72,91,91,82,75,81,91,80,,,,75,"Piloto"
27,,2020,4,84,83,72,76,82,84,91,72,91,83,91,75,84,75,91,76,83,84,84,91,84,,,,72,"Piloto"
28,,2020,5,80,83,91,84,84,83,91,83,91,84,83,84,91,72,91,91,72,72,79,91,83,,,,79,"Piloto"
29,,2020,6,83,72,91,84,84,84,91,72,91,72,80,82,81,79,80,,,,,,,,,,,"Piloto"
30,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
31,,2022,1,129,130,128,129,129,143,129,134,125,128,129,129,129,129,134,129,,,,,,,,,,"Piloto"
32,,2022,2,144,129,143,129,133,144,148,144,135,135,144,134,144,144,135,129,,,,,,,,,,"Piloto"
33,,2022,3,144,144,135,144,147,144,135,144,144,128,144,128,134,144,144,144,,,,,,,,,,"Piloto"
34,,2022,4,135,144,144,144,144,144,144,144,128,133,143,144,129,144,144,144,,,,,,,,,,"Piloto"
35,,2022,5,144,144,135,144,,,,,,,,,,,,,,,,,,,,,,"Piloto"
36,,2023,1,157,159,155,154,166,159,154,154,162,159,162,176,176,166,176,162,,,,,,,,,,"Piloto"
37,,2023,2,156,159,156,159,156,163,157,176,176,159,157,157,158,156,155,159,,,,,,,,,,"Piloto"
